fechas,Cripto,prices2,market_caps2,total_volumes2,Open,High,Low,Close,Ranking,Body_Ratio,Clasificación,Daily_Return
2022-10-10,bitcoin,19448.14900175761,372264710552.3351,14404623229.04686,19439.96,19525.0,19020.25,19131.87,1,0.6103813769192673,Fuerte Volatilidad,-0.015800693656367493
2022-10-11,bitcoin,19142.694767392895,367207056773.2261,23743487600.53748,19131.87,19268.09,18860.0,19060.0,1,0.17611311230365595,Indecisión,-0.003756559081783406
2022-10-12,bitcoin,19058.628039738272,365118514776.26794,25102717820.99086,19060.0,19238.31,18965.88,19155.53,1,0.35065888485114977,Fuerte Volatilidad,0.005012067156348277
2022-10-13,bitcoin,19153.039779986986,367301644901.367,22339104401.384174,19155.1,19513.79,18190.0,19375.13,1,0.16621216356068735,Indecisión,0.011464052417239357
2022-10-14,bitcoin,19383.9432200889,371647189087.47595,37194496437.923996,19375.58,19951.87,19070.37,19176.93,1,0.22535450935904872,Indecisión,-0.010229608781979871
2022-10-15,bitcoin,19198.107144951755,367584653730.75476,34806651159.13548,19176.93,19227.68,18975.18,19069.39,1,0.42590099009901333,Fuerte Volatilidad,-0.005607779764540077
2022-10-16,bitcoin,19072.780513358884,365870425566.52997,13103099352.405506,19068.4,19425.84,19063.74,19262.98,1,0.5373653686826813,Fuerte Volatilidad,0.010151871664484391
2022-10-17,bitcoin,19272.921847772006,369552982160.53754,15683330320.159586,19262.98,19676.96,19152.03,19549.86,1,0.5465109633665457,Fuerte Volatilidad,0.01489281513036933
2022-10-18,bitcoin,19557.895548868444,375052275829.7958,23713928577.519844,19548.48,19706.66,19091.0,19327.44,1,0.35902933437286966,Fuerte Volatilidad,-0.011377063569764756
2022-10-19,bitcoin,19348.029368810374,371196833238.99286,25848175158.687187,19327.44,19360.16,19065.97,19123.97,1,0.6916278595465463,Fuerte Volatilidad,-0.01052751942316199
2022-10-20,bitcoin,19134.242664465204,367085331987.69183,23047051893.294765,19123.35,19347.82,18900.0,19041.92,1,0.18183645214595226,Indecisión,-0.004290427144573172
2022-10-21,bitcoin,19031.15987195947,365098952754.63934,25712511231.935688,19041.92,19250.0,18650.0,19164.37,1,0.20408333333333453,Indecisión,0.006430549020266962
2022-10-22,bitcoin,19173.28046885863,367999082249.1525,30297335038.197,19164.37,19257.0,19112.72,19204.35,1,0.27710008317160995,Indecisión,0.002086163020229792
2022-10-23,bitcoin,19203.86547117714,368484939423.55475,13362526957.65784,19204.29,19695.0,19070.11,19570.4,1,0.585879114724193,Fuerte Volatilidad,0.019060785707404992
2022-10-24,bitcoin,19574.824231840797,375197423662.3941,19928822961.41621,19570.4,19601.15,19157.0,19329.72,1,0.5418890014634684,Fuerte Volatilidad,-0.012298164575072601
2022-10-25,bitcoin,19316.94062294213,370622833880.7626,28657172008.9177,19330.6,20415.87,19237.0,20080.07,1,0.6357528819971683,Fuerte Volatilidad,0.03881846193323013
2022-10-26,bitcoin,20095.152230674925,385476931983.84595,39846253138.59686,20079.02,21020.0,20050.41,20771.59,1,0.7142916077929843,Fuerte Dirección Alcista,0.03443812695872084
2022-10-27,bitcoin,20774.247496426033,398674628646.93066,50667020407.51415,20771.61,20872.21,20200.0,20295.11,1,0.7088558634950397,Fuerte Dirección Bajista,-0.022939023926430213
2022-10-28,bitcoin,20278.36623205219,389238872375.6226,41829789298.17936,20295.11,20750.0,20000.09,20591.84,1,0.39568748249789926,Fuerte Volatilidad,0.014620763326732344
2022-10-29,bitcoin,20591.241208098614,395201306734.5831,36165609164.5681,20591.84,21085.0,20554.01,20809.67,1,0.4102337143825636,Fuerte Volatilidad,0.010578462148112866
2022-10-30,bitcoin,20800.70708772471,399135164712.3964,32806216910.570454,20809.68,20931.21,20515.0,20627.48,1,0.43775978472406024,Fuerte Volatilidad,-0.008755064352293895
2022-10-31,bitcoin,20623.871497040946,395548335410.141,24707906148.749344,20627.48,20845.92,20237.95,20490.74,1,0.22491241344145027,Indecisión,-0.006629021092251608
2022-11-01,bitcoin,20494.60120983709,393311097043.5727,37290619694.72375,20490.74,20700.0,20330.74,20483.62,1,0.019281806856964335,Indecisión,-0.000347474029732564
2022-11-02,bitcoin,20489.646203160763,393218202887.5868,32262771910.727066,20482.81,20800.0,20048.04,20151.84,1,0.4401430927176998,Fuerte Volatilidad,-0.01619733230747289
2022-11-03,bitcoin,20162.980904822525,387015867490.0914,44539856162.44828,20151.84,20393.32,20031.24,20207.82,1,0.15460671674767967,Indecisión,0.0027779101064715483
2022-11-04,bitcoin,20210.912417111318,387756249891.6283,36562782563.979164,20207.12,21302.05,20180.96,21148.52,1,0.8397184882569654,Fuerte Dirección Alcista,0.04655128559141963
2022-11-05,bitcoin,21150.315583912397,405987599945.2726,33773463079.332672,21148.52,21480.65,21080.65,21299.37,1,0.3771249999999964,Fuerte Volatilidad,0.007132886840308439
2022-11-06,bitcoin,21282.985109422694,408892506459.0742,31061573100.604958,21299.37,21365.27,20886.13,20905.58,1,0.8218683474558537,Fuerte Dirección Bajista,-0.018488340265463088
2022-11-07,bitcoin,20906.99792695512,401869336200.07385,50602704770.812515,20905.58,21069.77,20384.89,20591.13,1,0.45913152669080753,Fuerte Volatilidad,-0.015041438697228293
2022-11-08,bitcoin,20597.755017060834,395168506455.3059,91750982446.38734,20590.67,20700.88,17166.83,18547.23,1,0.5782147960555168,Fuerte Volatilidad,-0.09926118673428808
2022-11-09,bitcoin,18562.353215089643,356871594631.61395,92144963385.0274,18545.38,18587.76,15588.0,15922.81,1,0.8742599407952646,Fuerte Dirección Bajista,-0.14149929666047167
2022-11-10,bitcoin,15742.444335961438,301963847693.52637,74978675390.59279,15922.68,18199.0,15754.26,17601.15,1,0.6865638063761387,Fuerte Volatilidad,0.10540476209915228
2022-11-11,bitcoin,17594.923500278233,336597208099.6668,65200666543.364624,17602.45,17695.0,16361.6,17070.31,1,0.3990850457477123,Fuerte Volatilidad,-0.03015939299420778
2022-11-12,bitcoin,17080.215260565037,325921112619.09045,45030331310.74984,17069.98,17119.1,16631.39,16812.08,1,0.5287978511820514,Fuerte Volatilidad,-0.015127434709738652
2022-11-13,bitcoin,16797.98748257006,322330608513.1628,21893997140.860477,16813.16,16954.28,16229.0,16329.85,1,0.6663771233178913,Fuerte Volatilidad,-0.028683541834204962
2022-11-14,bitcoin,16344.342316001042,313605586517.2854,20411619109.007805,16331.78,17190.0,15815.21,16619.46,1,0.20925377694047695,Indecisión,0.017735006751439686
2022-11-15,bitcoin,16645.828500283515,320598982524.9025,37539226046.106285,16617.72,17134.69,16527.72,16900.57,1,0.46600326210521065,Fuerte Volatilidad,0.016914508654312543
2022-11-16,bitcoin,16890.52938386464,324608360619.00433,28676275678.9418,16900.57,17015.92,16378.61,16662.76,1,0.37314650640975694,Fuerte Volatilidad,-0.014071123044962497
2022-11-17,bitcoin,16689.39673273771,320099234744.2721,26922027947.408913,16661.61,16751.0,16410.74,16692.56,1,0.09095985422912148,Indecisión,0.0017884192054620218
2022-11-18,bitcoin,16718.361228055077,321287480849.7667,22011291267.356167,16692.56,17011.0,16546.04,16700.45,1,0.01696920165175377,Indecisión,0.00047266566662029774
2022-11-19,bitcoin,16707.022778986535,320876918352.4405,20942172141.414623,16699.43,16822.41,16553.53,16700.68,1,0.004648914013686385,Indecisión,1.3772083985674755e-05
