,Cripto,fechas,pricesnew,market_capsnew,total_volumesnew
192,bitcoin,2023-02-24,23951.11098423326,461042830140.0772,42356618035.349625
193,bitcoin,2023-02-25,23172.286538018925,447316067422.04736,35081974267.07997
194,bitcoin,2023-02-26,23157.038107459524,447030240435.99854,22999909593.10942
195,bitcoin,2023-02-27,23541.115854493557,454284528651.50226,24469102669.371048
196,bitcoin,2023-02-28,23518.12390627588,454364917718.867,28832423816.478718
197,bitcoin,2023-03-01,23155.543746825795,446010055987.85736,25534054046.06684
198,bitcoin,2023-03-02,23634.333489123786,456417315966.7193,32507897259.084335
199,bitcoin,2023-03-03,23464.33654185282,453067155320.8529,27432755758.440197
200,bitcoin,2023-03-04,22367.43302246967,431727585101.1504,34239649135.070206
201,bitcoin,2023-03-05,22348.32991538815,431837491811.49384,13392431931.930376
202,bitcoin,2023-03-06,22421.885805853268,433081135066.3954,16080097920.160833
203,bitcoin,2023-03-07,22415.113659694827,432758824798.3097,21124920006.057713
204,bitcoin,2023-03-08,22217.209884905325,427994888566.54205,27780357943.162678
205,bitcoin,2023-03-09,21712.65119391273,419694984165.3824,28493032424.783108
206,bitcoin,2023-03-10,20376.320007428807,392841773384.4403,40173833477.660774
207,bitcoin,2023-03-11,20195.2289502733,390202255053.33545,51593890225.48742
208,bitcoin,2023-03-12,20521.55615175117,394742728281.98926,37746654239.61721
209,bitcoin,2023-03-13,22095.71339833569,425816781283.92786,36639901908.82403
210,bitcoin,2023-03-14,24178.95532797469,466509005562.78174,66799159801.958115
211,bitcoin,2023-03-15,24758.765085827567,478406045309.6089,70714394276.37074
212,bitcoin,2023-03-16,24470.88205445031,472833547484.0809,63107437928.81401
213,bitcoin,2023-03-17,25161.272017520052,486375597562.7987,60688056874.81415
214,bitcoin,2023-03-18,27466.677829829863,530038219067.3334,64617615617.80156
215,bitcoin,2023-03-19,27107.792183504385,523262280970.14777,46473651090.578415
216,bitcoin,2023-03-20,28186.842652360127,546680822196.2155,46394763656.038155
217,bitcoin,2023-03-21,27929.167733140293,538935400013.3555,55315948514.426994
218,bitcoin,2023-03-22,28264.23961052235,545917428270.10583,34430928756.27183
219,bitcoin,2023-03-23,27449.254830807356,530515158753.954,35394833933.50181
220,bitcoin,2023-03-24,28459.735113552502,549578396178.6341,20360807194.56342
221,bitcoin,2023-03-25,27595.4947483755,533634255119.3758,21551272690.413612
222,bitcoin,2023-03-26,27670.199498496833,534960802333.31067,15053754845.31385
223,bitcoin,2023-03-27,28048.46997853496,542675619058.77966,14450374261.063795
224,bitcoin,2023-03-28,27182.299559950465,525230880103.13837,18519053231.63728
225,bitcoin,2023-03-29,27291.3500210497,528042785008.98267,17658503318.910484
